DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Za dráhou;Za dráhou;034 01;Ruomberok 1;Ruomberok 1;;Ruomberok
Za jároèkom;Za jároèkom;034 06;Ruomberok 6;Ruomberok 6;;Ruomberok
Za kláštorom;Za kláštorom;034 01;Ruomberok 1;Ruomberok 1;;Ruomberok
Za starım cintorínom;Za starım cintorínom;034 01;Ruomberok 1;Ruomberok 1;;Ruomberok
Záhradná;Záhradná;034 01;Ruomberok 1;Ruomberok 1;;Ruomberok
Záhumnie;Záhumnie;034 03;Ruomberok 3;Ruomberok 3;;Ruomberok
Zarevúca;Zarevúca;034 01;Ruomberok 1;Ruomberok 1;;Ruomberok
Záskalie;Záskalie;034 01;Ruomberok 1;Ruomberok 1;;Ruomberok
Zelená;Zelená;034 01;Ruomberok 1;Ruomberok 1;;Ruomberok
. Silbigera;. Silbigera;034 01;Ruomberok 1;Ruomberok 1;;Ruomberok
ilinská cesta;ilinská cesta;034 01;Ruomberok 1;Ruomberok 1;;Ruomberok
Agátová;Agátová;905 01;Senica 1;Senica 1;;Senica
Astrová;Astrová;905 01;Senica 1;Senica 1;;Senica
Bahenská;Bahenská;905 01;Senica 1;Senica 1;;Senica
Beòovského;Beòovského;905 01;Senica 1;Senica 1;;Senica
Bernolákova;Bernolákova;905 01;Senica 1;Senica 1;;Senica
Bottova;Bottova;905 01;Senica 1;Senica 1;;Senica
Brestové;Brestové;905 01;Senica 1;Senica 1;;Senica
Brezová;Brezová;905 01;Senica 1;Senica 1;;Senica
Cintorínska;Cintorínska;905 01;Senica 1;Senica 1;;Senica
Cyrila Gallaya;Cyrila Gallaya;905 01;Senica 1;Senica 1;;Senica
Èáèov;Èáèov;905 01;Senica 1;Senica 1;;Senica
Èáèovská cesta;Èáèovská cesta;905 01;Senica 1;Senica 1;;Senica
Èerešòová;Èerešòová;905 01;Senica 1;Senica 1;;Senica
Dlhá;Dlhá;905 01;Senica 1;Senica 1;;Senica
Dolné Suroviny;Dolné Suroviny;905 01;Senica 1;Senica 1;;Senica
Dr. I. Horvátha;Dr. I. Horvátha;905 01;Senica 1;Senica 1;;Senica
Dr. Milana Hodu;Dr. Milana Hodu;905 01;Senica 1;Senica 1;;Senica
Fajnorova;Fajnorova;905 01;Senica 1;Senica 1;;Senica
Gen L. Svobodu;Gen L. Svobodu;905 01;Senica 1;Senica 1;;Senica
Hlbocká cesta;Hlbocká cesta;905 01;Senica 1;Senica 1;;Senica
Hollého;Hollého;905 01;Senica 1;Senica 1;;Senica
Horné Suroviny;Horné Suroviny;905 01;Senica 1;Senica 1;;Senica
Hurbanova;Hurbanova;905 01;Senica 1;Senica 1;;Senica
Hviezdoslavova;Hviezdoslavova;905 01;Senica 1;Senica 1;;Senica
J. Mudrocha;J. Mudrocha;905 01;Senica 1;Senica 1;;Senica
Jablonická cesta;Jablonická cesta;905 01;Senica 1;Senica 1;;Senica
Jabloòová;Jabloòová;905 01;Senica 1;Senica 1;;Senica
Jána Beu;Jána Beu;905 01;Senica 1;Senica 1;;Senica
Jána Jonáša;Jána Jonáša;905 01;Senica 1;Senica 1;;Senica
Jána Náhlika;Jána Náhlika;905 01;Senica 1;Senica 1;;Senica
Janka Krá¾a;Janka Krá¾a;905 01;Senica 1;Senica 1;;Senica
Jasmínová;Jasmínová;905 01;Senica 1;Senica 1;;Senica
Jozefa Závodského;Jozefa Závodského;905 01;Senica 1;Senica 1;;Senica
Juraja Fándlyho;Juraja Fándlyho;905 01;Senica 1;Senica 1;;Senica
K veterine;K veterine;905 01;Senica 1;Senica 1;;Senica
Kalinèiakova;Kalinèiakova;905 01;Senica 1;Senica 1;;Senica
Kalinová;Kalinová;905 01;Senica 1;Senica 1;;Senica
Kaplinská;Kaplinská;905 01;Senica 1;Senica 1;;Senica
Kasárenská;Kasárenská;905 01;Senica 1;Senica 1;;Senica
Kolónia;Kolónia;905 01;Senica 1;Senica 1;;Senica
Komenského;Komenského;905 01;Senica 1;Senica 1;;Senica
Košútovec;Košútovec;906 31;Hlboké;Hlboké;;Senica
Krátka;Krátka;905 01;Senica 1;Senica 1;;Senica
Kruhy;Kruhy;905 01;Senica 1;Senica 1;;Senica
Kunov;Kunov;905 01;Senica 1;Senica 1;;Senica
Kvetná;Kvetná;905 01;Senica 1;Senica 1;;Senica
L. Novomeského;L. Novomeského;905 01;Senica 1;Senica 1;;Senica
Lipová;Lipová;905 01;Senica 1;Senica 1;;Senica
¼udmily Krianovej;¼udmily Krianovej;905 01;Senica 1;Senica 1;;Senica
¼udovíta Vaníèka;¼udovíta Vaníèka;905 01;Senica 1;Senica 1;;Senica
M. Nešpora;M. Nešpora;905 01;Senica 1;Senica 1;;Senica
Martina Bartoòa;Martina Bartoòa;905 01;Senica 1;Senica 1;;Senica
Martina Braxatorisa;Martina Braxatorisa;905 01;Senica 1;Senica 1;;Senica
Mesaèná;Mesaèná;905 01;Senica 1;Senica 1;;Senica
Miloslava Bibzu;Miloslava Bibzu;905 01;Senica 1;Senica 1;;Senica
Moyzesova;Moyzesova;905 01;Senica 1;Senica 1;;Senica
Muškátová;Muškátová;905 01;Senica 1;Senica 1;;Senica
Námestie oslobodenia;Námestie oslobodenia;905 01;Senica 1;Senica 1;;Senica
Okruná;Okruná;905 01;Senica 1;Senica 1;;Senica
Olivová;Olivová;905 01;Senica 1;Senica 1;;Senica
Orgovánová;Orgovánová;905 01;Senica 1;Senica 1;;Senica
Palárikova;Palárikova;905 01;Senica 1;Senica 1;;Senica
Pri garáach;Pri garáach;905 01;Senica 1;Senica 1;;Senica
Priemyselná;Priemyselná;905 01;Senica 1;Senica 1;;Senica
Robotnícka;Robotnícka;905 01;Senica 1;Senica 1;;Senica
Rovenská;Rovenská;905 01;Senica 1;Senica 1;;Senica
Ruová;Ruová;905 01;Senica 1;Senica 1;;Senica
S. Jurkovièa;S. Jurkovièa;905 01;Senica 1;Senica 1;;Senica
Sadová;Sadová;905 01;Senica 1;Senica 1;;Senica
Sládkovièova;Sládkovièova;905 01;Senica 1;Senica 1;;Senica
Slneèná;Slneèná;905 01;Senica 1;Senica 1;;Senica
Smreková;Smreková;905 01;Senica 1;Senica 1;;Senica
SNP;SNP;905 01;Senica 1;Senica 1;;Senica
Sotinská;Sotinská;905 01;Senica 1;Senica 1;;Senica
Stromová;Stromová;905 01;Senica 1;Senica 1;;Senica
Sv. Gorazda;Sv. Gorazda;905 01;Senica 1;Senica 1;;Senica
Sv.Cyrila a Metoda;Sv.Cyrila a Metoda;905 01;Senica 1;Senica 1;;Senica
Škodáèkova;Škodáèkova;905 01;Senica 1;Senica 1;;Senica
Školská;Školská;905 01;Senica 1;Senica 1;;Senica
Športová;Športová;905 01;Senica 1;Senica 1;;Senica
Štefana Pilárika;Štefana Pilárika;905 01;Senica 1;Senica 1;;Senica
Štefánikova;Štefánikova;905 01;Senica 1;Senica 1;;Senica
Štúrova;Štúrova;905 01;Senica 1;Senica 1;;Senica
Tehelná;Tehelná;905 01;Senica 1;Senica 1;;Senica
Topo¾ová;Topo¾ová;905 01;Senica 1;Senica 1;;Senica
Továrenská;Továrenská;905 01;Senica 1;Senica 1;;Senica
V ulièke;V ulièke;905 01;Senica 1;Senica 1;;Senica
V. Paulínyho - Tótha;V. Paulínyho - Tótha;905 01;Senica 1;Senica 1;;Senica
Vajanského;Vajanského;905 01;Senica 1;Senica 1;;Senica
Záhradná;Záhradná;905 01;Senica 1;Senica 1;;Senica
eleznièná;eleznièná;905 01;Senica 1;Senica 1;;Senica
A. Mickiewicza;A. Mickiewicza;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Agátová;Agátová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Astrová;Astrová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
B.Nìmcovej;B.Nìmcovej;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Banícka;Banícka;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Bernolákova;Bernolákova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Bezruèova;Bezruèova;052 05;Spišská Nová Ves 5;Spišská Nová Ves 5;;Spišská Nová Ves
Borodáèova;Borodáèova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Borovského;Borovského;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Brezová;Brezová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Bronzová;Bronzová;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Brusník;Brusník;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Èergovská;Èergovská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Èeská;Èeská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Èeského ¾udu;Èeského ¾udu;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Èsl.armády;Èsl.armády;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Detvianska;Detvianska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Drevárska;Drevárska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Dubová;Dubová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Dúhová;Dúhová;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Duklianska;Duklianska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Dunajská;Dunajská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
E. M. Šoltésovej;E. M. Šoltésovej;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Elektrárenská;Elektrárenská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
F. Heèku;F. Heèku;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
F. Urbánka;F. Urbánka;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Filinského cesta;Filinského cesta;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Fraòa Krá¾a;Fraòa Krá¾a;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Gaštanová;Gaštanová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Gemerská;Gemerská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Gorazdova;Gorazdova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Hájik;Hájik;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Hámor;Hámor;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Harichovskı chodník;Harichovskı chodník;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Hnilecká cesta;Hnilecká cesta;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Horská;Horská;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Hrdinov národného povstania;Hrdinov národného povstania;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Hrnèiarska;Hrnèiarska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Hurbanova;Hurbanova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Hutnianska;Hutnianska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Hutnícka;Hutnícka;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Hviezdoslavova;Hviezdoslavova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Chalupku;Chalupku;;;;pozri S. Chalupku;Spišská Nová Ves
Chrapèiakova;Chrapèiakova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
I. Krasku;I. Krasku;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
I. Stodolu;I. Stodolu;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Ing. O. Koucha;Ing. O. Koucha;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Ing. Rojkovièa;Ing. Rojkovièa;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Ing. Straku;Ing. Straku;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Inovecká;Inovecká;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
J. Bottu;J. Bottu;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
J. Èajaka;J. Èajaka;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
J. Fabiniho;J. Fabiniho;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
J. Fándlyho;J. Fándlyho;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
J. Hanulu;J. Hanulu;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
J. Hollého;J. Hollého;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
J. I. Bajzu;J. I. Bajzu;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
J. Kostru;J. Kostru;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
J. Matušku;J. Matušku;052 05;Spišská Nová Ves 5;Spišská Nová Ves 5;;Spišská Nová Ves
J. Wolkera;J. Wolkera;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;"è. 1; pár. è. 2-12; nepár.è. 1-7";Spišská Nová Ves
J. Wolkera;J. Wolkera;052 05;Spišská Nová Ves 5;Spišská Nová Ves 5;"nepár. è. 9-41; pár. è. 14-34";Spišská Nová Ves
J.C.Hronského;J.C.Hronského;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Jána Jánskeho;Jána Jánskeho;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Jasná;Jasná;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Javorová;Javorová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Jed¾ová;Jed¾ová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Jesenského;Jesenského;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Kalinèiaka;Kalinèiaka;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Kamenárska;Kamenárska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Kamennı obrázok;Kamennı obrázok;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Karpatská;Karpatská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Kmeova;Kmeova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Koce¾ova;Koce¾ova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Kolárska;Kolárska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Kollárova;Kollárova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Komenského;Komenského;052 05;Spišská Nová Ves 5;Spišská Nová Ves 5;;Spišská Nová Ves
Konrádova;Konrádova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Kováèska;Kováèska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Krèméryho;Krèméryho;052 05;Spišská Nová Ves 5;Spišská Nová Ves 5;;Spišská Nová Ves
Kríová;Kríová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Kukuèínova;Kukuèínova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Kukuèínova;Kukuèínova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Kuzmányho;Kuzmányho;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Kvetná;Kvetná;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Kysucká;Kysucká;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Laborecká;Laborecká;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
¼aliová;¼aliová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Lesná;Lesná;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Letecká;Letecká;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Letná;Letná;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Levoèská;Levoèská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Limbová;Limbová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Lipová;Lipová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Liptovská;Liptovská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Lúèna;Lúèna;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
M. Gorkého;M. Gorkého;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Magurská;Magurská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Májového povstania èeského ¾udu;Máj. povst. èes. ¾udu;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Malá;Malá;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Malinovského;Malinovského;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Markušovská cesta;Markušovská cesta;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Medená;Medená;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Medza;Medza;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Mišíkova;Mišíkova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Mlynská;Mlynská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Moravská;Moravská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Moyzesova;Moyzesova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Mudroòova;Mudroòova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Muráòska;Muráòska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Nábreie Hornádu;Nábreie Hornádu;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Nad Medzou;Nad Medzou;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Námestie SNP;Námestie SNP;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Narcisová;Narcisová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Nezábudková;Nezábudková;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Nitrianska;Nitrianska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Novoveská cesta;Novoveská cesta;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Novoveská Huta;Novoveská Huta;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Obrancov mieru;Obrancov mieru;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Odborárov;Odborárov;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Odorínska cesta;Odorínska cesta;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Oravská;Oravská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Orlia;Orlia;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
P. Jilemnického;P. Jilemnického;052 05;Spišská Nová Ves 5;Spišská Nová Ves 5;;Spišská Nová Ves
Palárikova;Palárikova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Pieninská;Pieninská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Pod Teplièkou;Pod Teplièkou;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Podskala;Podskala;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Podunajská;Podunajská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Pohronská;Pohronská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Po¾ná;Po¾ná;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Potoèná;Potoèná;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Povaská;Povaská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Predná Huta;Predná Huta;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;1,1A;Spišská Nová Ves
Predná Huta;Predná Huta;053 31;Novoveská Huta;Novoveská Huta;142,168,264;Spišská Nová Ves
Pri Vyšnej Hati;Pri Vyšnej Hati;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Púpavová;Púpavová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Puškinova;Puškinova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
R. Jašíka;R. Jašíka;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Radlinského;Radlinského;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Radnièné námestie;Radnièné námestie;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Rajecká;Rajecká;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Rastislavova;Rastislavova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Rázusova;Rázusova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Rudná;Rudná;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Rybárska;Rybárska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Rybnièná;Rybnièná;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
S. Chalupku;S. Chalupku;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
S. Tomášika;S. Tomášika;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Sadová;Sadová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Sadrovcová;Sadrovcová;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Sládkovièova;Sládkovièova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Slneèná;Slneèná;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Slneèné nábreie;Slneèné nábreie;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Slobody;Slobody;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Slovenská;Slovenská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Snená;Snená;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
SNP;SNP;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Spišská;Spišská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Stará cesta;Stará cesta;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Starosaská;Starosaská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Stojan;Stojan;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Stolárska;Stolárska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Straanská;Straanská;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Strojnícka;Strojnícka;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Svätopukova;Svätopukova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Šafárikovo námestie;Šafárikovo námestie;052 05;Spišská Nová Ves 5;Spišská Nová Ves 5;;Spišská Nová Ves
Šarišská;Šarišská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Šestnástka;Šestnástka;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Školská;Školská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Škultétyho;Škultétyho;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Štefánikovo námestie;Štefánikovo námestie;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Štúrovo nábreie;Štúrovo nábreie;052 05;Spišská Nová Ves 5;Spišská Nová Ves 5;;Spišská Nová Ves
Švermova;Švermova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
T. Vansovej;T. Vansovej;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Tajovského;Tajovského;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Tatranská;Tatranská;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Tehelná;Tehelná;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Teplièská cesta;Teplièská cesta;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Thälmanova;Thälmanova;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Tichá;Tichá;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Tkáèska;Tkáèska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Tolstého;Tolstého;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Topo¾ová;Topo¾ová;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Trenèianska;Trenèianska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
